Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
DOGE / USD,0.5%,24h,8,0x2465CefD3b488BE410b941b1d4b2767088e2A028,N
DOT / USD,1%,24h,8,0x1C07AFb8E2B827c5A4739C6d59Ae3A5035f28734,N
DPI / ETH,2%,24h,18,0x029849bbc0b1d93b85a8b6190e979fd38F5760E2,N
DPI / USD,1%,24h,8,0xD2A593BF7594aCE1faD597adb697b5645d5edDB2,N
ENJ / ETH,2%,24h,18,0x24D9aB51950F3d62E9144fdC2f3135DAA6Ce8D1B,N
EOS / USD,1%,24h,8,0x10a43289895eAff840E8d45995BBa89f9115ECEe,N
EPS / USD,2%,24h,8,0x9831e1fC56f473B42f5CE2a856D5c8706ee3949f,N
ERN / USD,2%,24h,8,0x0a87e12689374A4EF49729582B474a1013cceBf8,N
ETC / USD,1%,24h,8,0xaEA2808407B7319A31A383B6F8B60f04BCa23cE2,N
ETH / USD,0.5%,1h,8,0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,Y
ETH / XDR,1%,24h,8,0xb022E2970b3501d8d83eD07912330d178543C1eB,N
EUR / USD,0.15%,24h,8,0xb49f677943BC038e9857d61E7d053CaA2C1734C1,N
EURS RESERVES,10%,24h,8,0xbcD05A3E0c11f340cCcD9a4Efe05eEB2b33AB67A,N
FB / USD,0.5%,24h,8,0xCe1051646393087e706288C1B57Fd26446657A7f,N
FEI / ETH,2%,24h,18,0x7F0D2c2838c6AC24443d13e23d99490017bDe370,N
FIL / ETH,2%,24h,18,0x0606Be69451B1C9861Ac6b3626b99093b713E801,N
FIL / USD,1%,24h,8,0x1A31D42149e82Eb99777f903C08A2E41A00085d3,N
FRAX / ETH,2%,24h,18,0x14d04Fff8D21bd62987a5cE9ce543d2F1edF5D3E,N
FRONT / USD,2%,24h,8,0xbf86e7B2565eAc3bFD80634176F31bd186566b06,N
FTM / ETH,3%,24h,18,0x2DE7E4a9488488e0058B95854CC2f7955B35dC9b,N
FTSE / GBP,0.5%,24h,8,0xE23FA0e8dd05D6f66a6e8c98cab2d9AE82A7550c,N
FTT / ETH,2%,24h,18,0xF0985f7E2CaBFf22CecC5a71282a89582c382EFE,N
FXS / USD,2%,24h,8,0x6Ebc52C8C1089be9eB3945C4350B68B8E4C2233f,N
